siren,nom_entreprise,chiffre_affaires,resultat,annee_finances,entreprise_cessee,classification,matched_google_lavoir,classification_v2
511233017,A.N.T,204299,13605.0,2018,0,AMBIGU,False,AMBIGU
444227771,SARL SARAY,159295,-32588.0,2020,0,AMBIGU,False,AMBIGU
319762662,SARL SELSA SERVICE,100422,-49091.0,2022,0,AMBIGU,False,AMBIGU
444699284,S.A.R.L. AURELIE,13041,-5269.0,2020,0,AMBIGU,False,AMBIGU
552138190,AUTOLAVLINGE,481663,49351.0,2016,0,AMBIGU,False,AMBIGU
810763334,BLUE PRESSING,257635,956.0,2022,0,PRESSING,False,PRESSING
749905097,LAV'NADHIF,18694,14251.0,2018,0,LS_PURE,True,LS_PURE
309446904,PIBERGIL,79058,-4453.0,2017,0,AMBIGU,False,AMBIGU
381308055,VARME,76276,-315.0,2022,0,AMBIGU,True,LS_PROBABLE
823558515,UNION PRESSING,70350,-20143.0,2024,0,PRESSING,False,PRESSING
481141711,LAMARI LAUNDROMAT,23993,130.0,2021,0,LS_PURE,False,LS_PURE
834160269,MA,223803,34900.0,2024,0,AMBIGU,False,AMBIGU
838261592,STAR PRESSING,111369,21245.0,2022,0,PRESSING,False,PRESSING
413302738,ROYAL'S PRESSING CORDONNERIE,59592,7236.0,2019,0,PRESSING,False,PRESSING
487548448,LAV'PRESS DE LA MAIRIE,173063,5019.0,2024,0,LS_MIXTE,False,LS_MIXTE
483512414,LAV'TOUT BLANC,78651,3667.0,2024,0,LS_PURE,False,LS_PURE
519850085,SAMET,61295,273.0,2017,0,AMBIGU,False,AMBIGU
911470193,2A3M LAVERIE,45750,170.0,2024,0,LS_PURE,False,LS_PURE
419088521,JULICE LAVERIE,203368,30555.0,2018,0,LS_PURE,True,LS_PURE
821614450,LAVERIE SAINT PETERSBOURG,27012,-3388.0,2021,0,LS_PURE,True,LS_PURE
448762740,STAR NET,91302,1044.0,2022,0,AMBIGU,True,LS_PROBABLE
533175592,FAUBOURG PRESS-IMPEC,120027,1037.0,2024,0,PRESSING,False,PRESSING
435405600,F.M,46836,8.0,2017,0,AMBIGU,False,AMBIGU
433278975,CHABROL PRESSING,28132,6366.0,2020,0,PRESSING,False,PRESSING
491988358,LAVERIE ARDJOUNE,204399,3191.0,2018,0,LS_PURE,True,LS_PURE
752062711,LAVOIR MODERNE PARIS,459532,-1735875.0,2020,0,LS_PURE,False,LS_PURE
331928713,SSM SOC SERVICES DU MONT,32478,2342.0,2022,0,AMBIGU,True,LS_PROBABLE
808646772,S.N.R. PRO,116589,611.0,2018,0,AMBIGU,False,AMBIGU
503135527,FEI DA,72154,1575.0,2024,0,AMBIGU,False,AMBIGU
523987410,CITE LAVERIE,108900,17474.0,2024,0,LS_PURE,True,LS_PURE
378898431,IBA PRESSING,60786,-4935.0,2020,0,PRESSING,False,PRESSING
441498581,J & H SERVICES,72003,25546.0,2023,0,AMBIGU,True,LS_PROBABLE
953688272,PRESSING SOLEIL COURONNES,81577,-5796.0,2024,0,PRESSING,True,PRESSING
834355356,ARC EN CIEL PRESSING,92210,23826.0,2024,0,PRESSING,False,PRESSING
849641691,A LAVE VERSAILLAISE,115697,17844.0,2024,0,LS_PURE,False,LS_PURE
753023829,SOFIA,134854,9265.0,2019,0,AMBIGU,False,AMBIGU
838400786,VOLTAIRE RETOUCHES PRESSING,93109,1350.0,2024,0,PRESSING,True,PRESSING
832104855,MATHIAS,38415,309.0,2022,0,AMBIGU,False,AMBIGU
